Timecode List:,00:00:04.533,00:00:09.600,00:00:14.067,00:00:27.400
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,136,00:00:04.533,4.533,136,00:00:04.533,4.533
2,137,00:00:04.533,4.533,288,00:00:09.600,9.600,152,00:00:05.067,5.067
3,289,00:00:09.600,9.600,422,00:00:14.067,14.067,134,00:00:04.467,4.467
4,423,00:00:14.067,14.067,822,00:00:27.400,27.400,400,00:00:13.333,13.333
5,823,00:00:27.400,27.400,919,00:00:30.633,30.633,97,00:00:03.233,3.233
