Timecode List:,00:00:08.233,00:00:15.867,00:00:20.833,00:00:30.200
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,247,00:00:08.233,8.233,247,00:00:08.233,8.233
2,248,00:00:08.233,8.233,476,00:00:15.867,15.867,229,00:00:07.633,7.633
3,477,00:00:15.867,15.867,625,00:00:20.833,20.833,149,00:00:04.967,4.967
4,626,00:00:20.833,20.833,906,00:00:30.200,30.200,281,00:00:09.367,9.367
5,907,00:00:30.200,30.200,921,00:00:30.700,30.700,15,00:00:00.500,0.500
